Episode number,Original air date,Episode title,Season
1,13-Oct-14,Droids in Distress,1
2,20-Oct-14,Fighter Flight,1
3,27-Oct-14,Rise of the Old Masters,1
4,3-Nov-14,Breaking Ranks,1
5,10-Nov-14,Out of Darkness,1
6,17-Nov-14,Empire Day,1
7,24-Nov-14,Gathering Forces,1
8,5-Jan-15,Path of the Jedi,1
9,19-Jan-15,Idiot's Array,1
10,2-Feb-15,Vision of Hope,1
11,9-Feb-15,Call to Action,1
12,23-Feb-15,Rebel Resolve,1
13,2-Mar-15,Fire Across the Galaxy,1
14,20-Jun-15,The Siege of Lothal (60 min),2
15,14-Oct-15,The Lost Commanders,2
16,21-Oct-15,Relics of the Old Republic,2
17,28-Oct-15,Always Two There Are,2
18,4-Nov-15,Brothers of the Broken Horn,2
19,11-Nov-15,Wings of the Master,2
20,18-Nov-15,Blood Sisters,2
21,25-Nov-15,Stealth Strike,2
22,2-Dec-15,The Future of the Force,2
23,9-Dec-15,Legacy,2
24,20-Jan-16,A Princess on Lothal,2
25,27-Jan-16,The Protector of Concord Dawn,2
26,3-Feb-16,Legends of the Lasat,2
27,10-Feb-16,The Call,2
28,17-Feb-16,Homecoming,2
29,24-Feb-16,The Honorable Ones,2
30,2-Mar-16,Shroud of Darkness,2
31,16-Mar-16,The Forgotten Droid,2
32,23-Mar-16,The Mystery of Chopper Base,2
33,30-Mar-16,Twilight of the Apprentice (60 min),2
34,24-Sep-16,Steps Into Shadow (60 min),3
35,1-Oct-16,The Holocrons of Fate,3
36,8-Oct-16,The Antilles Extraction,3
37,15-Oct-16,Hera's Heroes,3
38,22-Oct-16,The Last Battle,3
39,5-Nov-16,Imperial Supercommandos,3
40,19-Nov-16,Iron Squadron,3
41,26-Nov-16,The Wynkahthu Job,3
42,3-Dec-16,An Inside Man,3
43,10-Dec-16,Visions and Voices,3
44,7-Jan-17,Ghosts of Geonosis: Part 1,3
45,7-Jan-17,Ghosts of Geonosis: Part 2,3
46,14-Jan-17,Warhead,3
47,21-Jan-17,Trials of the Darksaber,3
48,18-Feb-17,Legacy of Mandalore,3
49,25-Feb-17,Through Imperial Eyes,3
50,4-Mar-17,Secret Cargo,3
51,11-Mar-17,Double Agent Droid,3
52,18-Mar-17,Twin Suns,3
53,25-Mar-17,Zero Hour: Part 1,3
54,25-Mar-17,Zero Hour: Part 2,3
55,15-Oct-17,Heroes of Mandalore: Part 1,4
56,15-Oct-17,Heroes of Mandalore: Part 2,4
57,22-Oct-17,In the Name of the Rebellion: Part 1,4
58,22-Oct-17,In the Name of the Rebellion: Part 2,4
59,29-Oct-17,The Occupation,4
60,29-Oct-17,Flight of the Defender,4
61,6-Nov-17,Kindred,4
62,6-Nov-17,Crawler Commandeers,4
63,13-Nov-17,Rebel Assault,4
64,19-Feb-18,Jedi Night,4
65,19-Feb-18,DUME,4
66,26-Feb-18,Wolves and a Door,4
67,26-Feb-18,A World Between Worlds,4
68,5-Mar-18,A Fool's Hope,4
69,5-Mar-18,Family Reunion – and Farewell,4